display_name,fleet_id,model_name,rating,rating_lower,rating_upper,variance,vote_count,rank,category,leaderboard_publish_date
GPT 5.5,gpt-5.5,gpt-5.5,1493.940173658764,1486.1271502296304,1501.753197087898,15.890664967004376,7690.0,18,industry_life_and_physical_and_social_science,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1482.3279561040013,1469.3381173841558,1495.3177948238467,43.924956076219466,2180.0,35,industry_life_and_physical_and_social_science,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1474.7456167180992,1455.8002146595022,1493.6910187766964,93.43540459898425,992.0,48,industry_life_and_physical_and_social_science,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1459.9622632016778,1451.1124539871166,1468.8120724162393,20.387859610058943,5188.0,65,industry_life_and_physical_and_social_science,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1526.6027083932117,1515.0096860252513,1538.1957307611722,34.98623150664048,3148.0,1,industry_mathematical,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1516.2041989133304,1495.0198006339722,1537.3885971926888,116.82507906654799,792.0,2,industry_mathematical,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1515.31497533884,1504.37854403591,1526.2514066417698,31.135444951117,3599.0,3,industry_mathematical,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1511.25650888785,1478.7960444885841,1543.7169732871157,274.2920849078932,334.0,5,industry_mathematical,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1500.8929020158926,1485.4780700285073,1516.3077340032778,61.855939706879575,1561.0,10,industry_mathematical,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1500.1790981405936,1487.5775676397734,1512.7806286414138,41.33809013066769,2516.0,11,industry_mathematical,2026-07-21
